                   t               x1(t)               x2(t)           DeltaX(t)
  1.1916666666667E+00 -8.8083333333333E+00 -9.6173488208198E+00 -8.0901548748648E-01
  1.2000000000000E+00 -8.8000000000000E+00 -9.7079563282843E+00 -9.0795632828424E-01
  1.2083333333333E+00 -8.7916666666667E+00 -9.7985022440481E+00 -1.0068355773815E+00
  1.2166666666667E+00 -8.7833333333333E+00 -9.8889866194165E+00 -1.1056532860832E+00
  1.2250000000000E+00 -8.7750000000000E+00 -9.9794095056516E+00 -1.2044095056516E+00
  1.2333333333333E+00 -8.7666666666667E+00 -1.0069770953973E+01 -1.3031042873065E+00
  1.2416666666667E+00 -8.7583333333333E+00 -1.0160071015558E+01 -1.4017376822247E+00
  1.2500000000000E+00 -8.7500000000000E+00 -1.0250309741540E+01 -1.5003097415404E+00
  1.2583333333333E+00 -8.7416666666667E+00 -1.0340487183012E+01 -1.5988205163456E+00
  1.2666666666667E+00 -8.7333333333333E+00 -1.0430603391023E+01 -1.6972700576892E+00
  1.2750000000000E+00 -8.7250000000000E+00 -1.0520658416578E+01 -1.7956584165779E+00
  1.2833333333333E+00 -8.7166666666667E+00 -1.0610652310643E+01 -1.8939856439759E+00
  1.2916666666667E+00 -8.7083333333333E+00 -1.0700585124138E+01 -1.9922517908047E+00
  1.3000000000000E+00 -8.7000000000000E+00 -1.0790456907944E+01 -2.0904569079439E+00
  1.3083333333333E+00 -8.6916666666667E+00 -1.0880267712897E+01 -2.1886010462301E+00
  1.3166666666667E+00 -8.6833333333333E+00 -1.0970017589791E+01 -2.2866842564579E+00
  1.3250000000000E+00 -8.6750000000000E+00 -1.1059706589380E+01 -2.3847065893797E+00
  1.3333333333333E+00 -8.6666666666667E+00 -1.1149334762372E+01 -2.4826680957053E+00
  1.3416666666667E+00 -8.6583333333333E+00 -1.1238902159436E+01 -2.5805688261024E+00
  1.3500000000000E+00 -8.6500000000000E+00 -1.1328408831197E+01 -2.6784088311965E+00
  1.3583333333333E+00 -8.6416666666667E+00 -1.1417854828238E+01 -2.7761881615711E+00
  1.3666666666667E+00 -8.6333333333333E+00 -1.1507240201101E+01 -2.8739068677673E+00
  1.3750000000000E+00 -8.6250000000000E+00 -1.1596565000284E+01 -2.9715650002842E+00
  1.3833333333333E+00 -8.6166666666667E+00 -1.1685829276246E+01 -3.0691626095789E+00
  1.3916666666667E+00 -8.6083333333333E+00 -1.1775033079400E+01 -3.1666997460663E+00
  1.4000000000000E+00 -8.6000000000000E+00 -1.1864176460119E+01 -3.2641764601194E+00
  1.4083333333333E+00 -8.5916666666667E+00 -1.1953259468736E+01 -3.3615928020694E+00
  1.4166666666667E+00 -8.5833333333333E+00 -1.2042282155539E+01 -3.4589488222054E+00
  1.4250000000000E+00 -8.5750000000000E+00 -1.2131244570774E+01 -3.5562445707745E+00
  1.4333333333333E+00 -8.5666666666667E+00 -1.2220146764649E+01 -3.6534800979822E+00
  1.4416666666667E+00 -8.5583333333333E+00 -1.2308988787325E+01 -3.7506554539921E+00
  1.4500000000000E+00 -8.5500000000000E+00 -1.2397770688926E+01 -3.8477706889259E+00
  1.4583333333333E+00 -8.5416666666667E+00 -1.2486492519530E+01 -3.9448258528636E+00
  1.4666666666667E+00 -8.5333333333333E+00 -1.2575154329177E+01 -4.0418209958436E+00
  1.4750000000000E+00 -8.5250000000000E+00 -1.2663756167862E+01 -4.1387561678625E+00
  1.4833333333333E+00 -8.5166666666667E+00 -1.2752298085542E+01 -4.2356314188752E+00
  1.4916666666667E+00 -8.5083333333333E+00 -1.2840780132129E+01 -4.3324467987952E+00
  1.5000000000000E+00 -8.5000000000000E+00 -1.2929202357494E+01 -4.4292023574942E+00
  1.5083333333333E+00 -8.4916666666667E+00 -1.3017564811469E+01 -4.5258981448025E+00
  1.5166666666667E+00 -8.4833333333333E+00 -1.3105867543842E+01 -4.6225342105089E+00
  1.5250000000000E+00 -8.4750000000000E+00 -1.3194110604361E+01 -4.7191106043605E+00
  1.5333333333333E+00 -8.4666666666667E+00 -1.3282294042730E+01 -4.8156273760633E+00
  1.5416666666667E+00 -8.4583333333333E+00 -1.3370417908615E+01 -4.9120845752817E+00
  1.5500000000000E+00 -8.4500000000000E+00 -1.3458482251639E+01 -5.0084822516387E+00
  1.5583333333333E+00 -8.4416666666667E+00 -1.3546487121383E+01 -5.1048204547160E+00
  1.5666666666667E+00 -8.4333333333333E+00 -1.3634432567387E+01 -5.2010992340541E+00
  1.5750000000000E+00 -8.4250000000000E+00 -1.3722318639152E+01 -5.2973186391520E+00
  1.5833333333333E+00 -8.4166666666667E+00 -1.3810145386135E+01 -5.3934787194679E+00
  1.5916666666667E+00 -8.4083333333333E+00 -1.3897912857752E+01 -5.4895795244183E+00
  1.6000000000000E+00 -8.4000000000000E+00 -1.3985621103379E+01 -5.5856211033789E+00
  1.6083333333333E+00 -8.3916666666667E+00 -1.4073270172351E+01 -5.6816035056840E+00
  1.6166666666667E+00 -8.3833333333333E+00 -1.4160860113960E+01 -5.7775267806270E+00
  1.6250000000000E+00 -8.3750000000000E+00 -1.4248390977460E+01 -5.8733909774602E+00
  1.6333333333333E+00 -8.3666666666667E+00 -1.4335862812061E+01 -5.9691961453948E+00
  1.6416666666667E+00 -8.3583333333333E+00 -1.4423275666934E+01 -6.0649423336011E+00
  1.6500000000000E+00 -8.3500000000000E+00 -1.4510629591208E+01 -6.1606295912084E+00
  1.6583333333333E+00 -8.3416666666667E+00 -1.4597924633972E+01 -6.2562579673051E+00
  1.6666666666667E+00 -8.3333333333333E+00 -1.4685160844272E+01 -6.3518275109386E+00
  1.6750000000000E+00 -8.3250000000000E+00 -1.4772338271116E+01 -6.4473382711156E+00
  1.6833333333333E+00 -8.3166666666667E+00 -1.4859456963469E+01 -6.5427902968019E+00
  1.6916666666667E+00 -8.3083333333333E+00 -1.4946516970256E+01 -6.6381836369225E+00
